category,crop_id,crop_name_fao56,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,p_adjustment_formula,source,notes
Forages,alfalfa_seed,Alfalfa - for seed,1.0,3.0,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Forages,bermuda_hay,Bermuda - for hay,1.0,1.5,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Forages,bermuda_spring_crop_for_seed,Bermuda - Spring crop for seed,1.0,1.5,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Forages,clover_hay_berseem,"Clover hay, Berseem",0.6,0.9,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Forages,rye_grass_hay,Rye Grass hay,0.6,1.0,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Forages,sudan_grass_hay_annual,Sudan Grass hay (annual),1.0,1.5,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Forages,grazing_pasture_rotated_grazing,Grazing Pasture - Rotated Grazing,0.5,1.5,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Forages,grazing_pasture_extensive_grazing,Grazing Pasture - Extensive Grazing,0.5,1.5,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Forages,turf_grass_cool_season,Turf grass - cool season,0.5,1.0,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","Cool season grass varieties include bluegrass, ryegrass and fescue; grass rooting depth is variable."
Forages,turf_grass_warm_season,Turf grass - warm season,0.5,1.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","Warm season varieties include bermuda grass, buffalo grass and St. Augustine grass; grass rooting depth is variable."
Sugar cane,sugar_cane,Sugar Cane,1.2,2.0,0.65,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,banana_1st_year,Banana - 1st year,0.5,0.9,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,banana_2nd_year,Banana - 2nd year,0.5,0.9,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,cacao,Cacao,0.7,1.0,0.3,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,coffee,Coffee,0.9,1.5,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Tropical fruits and trees,date_palms,Date Palms,1.5,2.5,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
