category,crop_id,crop_name_fao56,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,p_adjustment_formula,kc_ini,kc_ini_min,kc_ini_max,kc_mid,kc_mid_min,kc_mid_max,kc_end,kc_end_min,kc_end_max,max_crop_height_m,max_crop_height_min_m,max_crop_height_max_m,kc_condition,source,kc_source,notes,kc_notes
Roots and tubers,cassava_year_1,Cassava - year 1,0.5,0.8,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.30,0.3,0.3,0.80,0.8,0.8,0.30,0.3,0.3,1.0,1.0,1.0,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,Mid-season values assume non-stressed conditions during or following the rainy season; end values account for dry-season dormancy.
Roots and tubers,cassava_year_2,Cassava - year 2,0.7,1.0,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.30,0.3,0.3,1.10,1.1,1.1,0.50,0.5,0.5,1.5,1.5,1.5,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,Mid-season values assume non-stressed conditions during or following the rainy season; end values account for dry-season dormancy.
Roots and tubers,parsnip,Parsnip,0.5,1.0,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.05,1.05,1.05,0.95,0.95,0.95,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Roots and tubers,potato,Potato,0.4,0.6,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.15,1.15,1.15,0.75,0.75,0.75,0.6,0.6,0.6,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,FAO-56 footnote: Kc_end is about 0.40 for long-season potatoes with vine kill.
Roots and tubers,sweet_potato,Sweet Potato,1.0,1.5,0.65,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.15,1.15,1.15,0.65,0.65,0.65,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Roots and tubers,turnip_rutabaga,Turnip (and Rutabaga),0.5,1.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.10,1.1,1.1,0.95,0.95,0.95,0.6,0.6,0.6,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,
Roots and tubers,sugar_beet,Sugar Beet,0.7,1.2,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.35,0.35,0.35,1.20,1.2,1.2,0.70,0.7,0.7,0.5,0.5,0.5,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6","Sugar beets can show late afternoon wilting in arid climates even at p < 0.55, usually with minor impact on sugar yield.",FAO-56 footnote: Kc_end can be up to 1.0 if irrigation or significant rain occurs during the last month.
Legumes,beans_green,"Beans, green",0.5,0.7,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.50,0.5,0.5,1.05,1.05,1.05,0.90,0.9,0.9,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,"FAO-56 footnote: for staked green beans reaching 1.5-2 m, Kc_mid around 1.15 can be used."
Legumes,beans_dry_and_pulses,"Beans, dry and Pulses",0.6,0.9,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",0.40,0.4,0.4,1.15,1.15,1.15,0.35,0.35,0.35,0.4,0.4,0.4,standard Table 12 row,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,"FAO-56 footnote: for staked dry beans reaching 1.5-2 m, Kc_mid around 1.20 can be used."
Legumes,beans_lima_large_vines,"Beans, lima, large vines",0.8,1.2,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)",,,,,,,,,,,,,not directly listed in Table 12,"FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","FAO Irrigation and Drainage Paper 56, Table 12, Chapter 6",,No direct Kc row in FAO-56 Table 12 for this Table 22 crop. Consider mapping to green beans or dry beans/pulses depending on harvest/use.
